no,name,category,ingredients,serving,preparation_time,cooking_instraction,difficulty,last_cooked,ratting
1,Classic Pancakes,Breakfast,"2 cups all-purpose flour, 2 tbsp sugar, 2 tsp baking powder, 1/2 tsp salt, 2 eggs, 1 1/2 cups milk, 1/4 cup melted butter, 1 tsp vanilla extract",4,15 mins,"1. Mix dry ingredients in a bowl. 2. Whisk wet ingredients separately. 3. Combine wet and dry until just mixed. 4. Heat a non-stick pan over medium heat. 5. Pour 1/4 cup batter per pancake. 6. Cook until bubbles form then flip. 7. Cook 1-2 more minutes until golden.",Easy,2026-04-01,4.8
2,Avocado Toast,Breakfast,"2 slices sourdough bread, 1 ripe avocado, 1 lemon (juiced), 1/4 tsp chili flakes, salt and pepper to taste, 2 eggs (optional), fresh herbs",2,10 mins,"1. Toast the bread until golden. 2. Mash avocado with lemon juice, salt and pepper. 3. Spread avocado on toast. 4. Top with chili flakes and herbs. 5. Add a poached egg on top if desired.",Easy,2026-04-05,4.6
3,Greek Omelette,Breakfast,"3 eggs, 1/4 cup feta cheese, 1/4 cup spinach, 5 cherry tomatoes (halved), 1 tbsp olive oil, salt and pepper, fresh oregano",2,10 mins,"1. Beat eggs with salt and pepper. 2. Heat olive oil in pan over medium heat. 3. Pour in eggs and let set slightly. 4. Add spinach, tomatoes and feta on one side. 5. Fold omelette in half. 6. Cook 1-2 more minutes. 7. Garnish with oregano.",Easy,2026-03-28,4.5
4,Grilled Chicken Caesar Salad,Lunch,"2 chicken breasts, 1 romaine lettuce, 1/2 cup Caesar dressing, 1/2 cup parmesan, 1 cup croutons, 1 lemon, 2 cloves garlic, salt and pepper",2,20 mins,"1. Season chicken with garlic, lemon, salt and pepper. 2. Grill chicken 6-7 minutes per side. 3. Let rest then slice. 4. Chop romaine and toss with dressing. 5. Top with chicken, croutons and parmesan. 6. Serve immediately.",Easy,2026-04-08,4.7
5,Lentil Soup,Lunch,"2 cups red lentils, 1 onion (diced), 3 cloves garlic, 2 carrots (diced), 2 celery stalks, 1 can diced tomatoes, 6 cups vegetable broth, 1 tsp cumin, 1 tsp turmeric, salt and pepper, olive oil",6,40 mins,"1. Sauté onion and garlic in olive oil. 2. Add carrots and celery, cook 5 minutes. 3. Stir in spices. 4. Add lentils, tomatoes and broth. 5. Bring to boil then simmer 25-30 minutes. 6. Blend partially if desired. 7. Season and serve with crusty bread.",Easy,2026-03-20,4.4
6,Beef Tacos,Lunch,"500g ground beef, 8 small corn tortillas, 1 onion, 3 cloves garlic, 1 tbsp cumin, 1 tbsp chili powder, 1 cup salsa, 1 cup shredded cheese, lettuce, sour cream, lime",4,25 mins,"1. Brown beef in a pan. 2. Add diced onion and garlic, cook 3 minutes. 3. Season with cumin and chili powder. 4. Warm tortillas in a dry pan. 5. Fill tortillas with beef. 6. Top with salsa, cheese, lettuce and sour cream. 7. Serve with lime wedges.",Easy,2026-04-03,4.9
7,Mushroom Risotto,Lunch,"1.5 cups arborio rice, 400g mixed mushrooms, 1 onion, 3 cloves garlic, 5 cups warm vegetable broth, 1/2 cup white wine, 1/2 cup parmesan, 2 tbsp butter, fresh thyme, salt and pepper",4,45 mins,"1. Sauté onion and garlic in butter. 2. Add mushrooms and cook until golden. 3. Add rice and toast 2 minutes. 4. Pour in wine and stir until absorbed. 5. Add broth one ladle at a time, stirring constantly. 6. Continue until rice is creamy. 7. Stir in parmesan and season. 8. Garnish with thyme.",Medium,2026-03-15,4.8
8,Spaghetti Bolognese,Dinner,"400g spaghetti, 500g ground beef, 1 onion, 3 cloves garlic, 2 carrots, 2 celery stalks, 1 can crushed tomatoes, 2 tbsp tomato paste, 1/2 cup red wine, fresh basil, parmesan, olive oil",4,1 hr 10 mins,"1. Sauté onion, garlic, carrots and celery in olive oil. 2. Add beef and brown well. 3. Pour in wine and reduce. 4. Add tomatoes and paste. 5. Simmer on low for 45 minutes. 6. Cook pasta al dente. 7. Toss pasta with sauce. 8. Serve with parmesan and fresh basil.",Medium,2026-04-06,4.9
9,Butter Chicken,Dinner,"600g chicken thighs, 1 cup plain yogurt, 1 tbsp garam masala, 1 tsp turmeric, 1 can crushed tomatoes, 1 cup heavy cream, 2 onions, 4 cloves garlic, 1 inch ginger, 2 tbsp butter, 1 tsp chili powder, salt",4,1 hr,"1. Marinate chicken in yogurt and spices for 30 mins. 2. Grill chicken until charred. 3. Sauté onion, garlic and ginger in butter. 4. Add spices and tomatoes, simmer 15 mins. 5. Blend sauce until smooth. 6. Add chicken and cream. 7. Simmer 10 more minutes. 8. Serve with basmati rice and naan.",Medium,2026-04-02,5.0
10,Grilled Salmon with Asparagus,Dinner,"4 salmon fillets, 1 bunch asparagus, 3 cloves garlic, 2 tbsp olive oil, 1 lemon, 1 tbsp honey, 1 tsp Dijon mustard, fresh dill, salt and pepper",4,25 mins,"1. Mix olive oil, honey, mustard, garlic and lemon zest. 2. Marinate salmon for 15 minutes. 3. Heat grill to medium-high. 4. Grill salmon 4-5 minutes per side. 5. Toss asparagus with olive oil, salt and pepper. 6. Grill asparagus 5-7 minutes. 7. Serve together with lemon slices and fresh dill.",Easy,2026-03-30,4.7
11,Lamb Rack with Roasted Vegetables,Dinner,"2 racks of lamb, 3 cloves garlic, 2 tbsp rosemary, 2 tbsp olive oil, 2 zucchinis, 2 bell peppers, 1 eggplant, 1 red onion, 1 tbsp balsamic vinegar, salt and pepper",4,1 hr 20 mins,"1. Coat lamb with garlic, rosemary, olive oil, salt and pepper. 2. Sear lamb in hot oven-safe pan. 3. Roast at 200°C for 20-25 minutes. 4. Chop vegetables and toss with oil and balsamic. 5. Roast vegetables at same temperature for 30-35 minutes. 6. Rest lamb for 10 minutes. 7. Slice and serve with vegetables.",Hard,2026-03-10,4.8
12,Chocolate Lava Cake,Dessert,"200g dark chocolate, 200g butter, 4 eggs, 4 egg yolks, 1 cup powdered sugar, 1/2 cup all-purpose flour, 1 tsp vanilla, pinch of salt, cocoa powder for dusting",4,30 mins,"1. Preheat oven to 220°C. 2. Melt chocolate and butter together. 3. Whisk eggs, yolks and sugar until thick. 4. Fold in chocolate mixture. 5. Fold in flour and salt. 6. Pour into greased and cocoa-dusted ramekins. 7. Bake 12-14 minutes until edges set but center is soft. 8. Invert onto plates and serve immediately.",Medium,2026-04-09,5.0
13,Classic Tiramisu,Dessert,"500g mascarpone, 4 eggs (separated), 3/4 cup sugar, 1 cup espresso (cooled), 200g ladyfinger biscuits, 3 tbsp marsala wine, cocoa powder for dusting",6,30 mins + 4 hrs chilling,"1. Beat egg yolks with sugar until pale. 2. Fold in mascarpone. 3. Whisk egg whites to stiff peaks and fold in. 4. Mix espresso with marsala wine. 5. Dip ladyfingers quickly in espresso mixture. 6. Layer biscuits in dish. 7. Spread cream layer on top. 8. Repeat layers. 9. Dust with cocoa and refrigerate at least 4 hours.",Medium,2026-03-25,4.9
14,Mango Panna Cotta,Dessert,"500ml heavy cream, 50g sugar, 1 tsp vanilla extract, 3 tsp gelatin powder, 3 tbsp cold water, 2 ripe mangoes, 2 tbsp honey, mint leaves for garnish",4,20 mins + 4 hrs setting,"1. Bloom gelatin in cold water for 5 minutes. 2. Heat cream and sugar until sugar dissolves. 3. Remove from heat and stir in gelatin and vanilla. 4. Pour into molds and refrigerate 4 hours. 5. Blend mangoes with honey to make coulis. 6. Unmold panna cotta onto plates. 7. Top with mango coulis and mint leaves.",Medium,2026-04-04,4.6
15,Apple Crumble,Dessert,"6 large apples (peeled and sliced), 1/2 cup sugar, 1 tsp cinnamon, 1 tbsp lemon juice, 1 cup rolled oats, 1/2 cup flour, 1/2 cup butter (cold, cubed), 1/2 cup brown sugar, pinch of salt",6,50 mins,"1. Preheat oven to 180°C. 2. Toss apple slices with sugar, cinnamon and lemon juice. 3. Spread in a baking dish. 4. Mix oats, flour, brown sugar and salt. 5. Rub in cold butter until crumbly. 6. Sprinkle topping over apples. 7. Bake 35-40 minutes until golden and bubbling. 8. Serve warm with vanilla ice cream.",Easy,2026-03-18,4.7
